w,x,y
4.9,-4.89,-109.97
4.47,-3.33,-74.97
4.8,-1.96,-59.76
3.44,-2.4,-48.08
5.6,6.32,148.0
5.42,-10.62,-271.03
4.34,8.32,166.05
4.77,9.19,201.03
2.51,7.85,113.4
5.19,-0.44,-45.64
6.52,0.15,50.5
3.8,-4.23,-78.33
4.82,2.39,58.01
4.13,-1.05,-40.85
3.87,9.98,198.06
3.75,-2.01,-47.16
3.01,1.7,28.18
5.07,-3.14,-81.27
6.57,7.45,202.52
5.14,6.41,139.52
4.55,1.39,41.26
5.47,3.0,77.64
3.19,6.64,102.62
2.5,-5.73,-81.74
6.03,7.67,193.54
2.64,2.02,27.72
5.02,10.23,238.51
4.1,0.31,25.47
4.58,-2.47,-63.79
3.99,0.18,23.43
4.06,4.86,85.62
4.64,5.5,108.88
5.79,2.06,67.66
6.41,-10.19,-289.62
6.03,-1.64,-72.78
5.53,2.93,77.61
6.28,0.97,58.51
5.57,-6.72,-164.93
5.33,0.17,36.33
4.13,2.45,49.27
6.81,3.64,115.1
3.96,-6.47,-122.79
4.06,2.4,47.76
6.02,-2.86,-92.82
4.89,12.81,319.46
4.11,2.04,43.92
6.17,-2.67,-92.09
4.21,-2.91,-64.74
5.61,-2.09,-73.3
5.62,5.92,139.19
4.48,-2.69,-65.35
7.06,5.68,168.11
4.6,5.72,112.55
4.74,0.78,36.46
6.9,4.96,146.55
5.43,5.92,134.86
4.87,-4.37,-99.27
3.6,-5.29,-93.03
3.74,-7.14,-132.3
5.53,-5.2,-129.28
4.9,-0.34,-41.42
4.14,-9.22,-192.6
4.6,1.41,42.09
4.71,-2.15,-61.12
4.13,3.15,59.04
4.8,8.7,188.3
5.26,-5.39,-127.31
5.73,-3.45,-98.33
5.55,-10.3,-264.97
5.69,4.58,111.48
7.37,5.26,165.33
4.01,2.28,45.58
5.36,-3.82,-98.32
5.8,-3.22,-95.39
4.73,7.1,145.86
4.47,1.18,37.96
4.01,-4.33,-83.44
5.91,3.24,89.69
5.3,5.44,121.29
5.89,-4.97,-131.94
4.85,1.04,40.65
3.74,-6.52,-119.29
3.75,-4.43,-80.92
5.22,-0.45,-46.22
5.23,9.51,223.35
3.93,7.49,136.59
3.68,-1.57,-41.55
6.29,4.52,122.79
5.83,-3.11,-93.9
6.38,-1.23,-71.94
5.58,10.11,252.36
5.37,-4.28,-107.07
3.23,-1.25,-34.01
6.06,-1.28,-67.88
4.13,-5.13,-99.75
3.98,-2.72,-58.88
5.34,-1.12,-55.73
4.88,-4.61,-104.22
6.43,-4.18,-126.67
3.11,12.14,238.47
3.87,0.26,23.1
3.81,3.67,62.01
5.31,3.84,89.62
5.53,1.75,59.03
6.54,0.99,62.7
6.0,-3.55,-105.3
5.21,-5.29,-124.38
5.75,0.08,39.94
5.58,1.63,58.09
5.68,-0.87,-56.97
2.84,1.85,28.02
4.86,0.26,32.25
4.43,-6.25,-128.0
6.31,2.27,79.65
4.9,1.45,46.29
4.38,-1.6,-49.74
4.25,-7.65,-155.38
3.69,5.36,87.88
4.16,-1.41,-45.09
4.67,0.5,32.75
4.06,4.07,72.07
3.16,-3.47,-57.9
5.54,0.52,42.79
5.61,1.6,58.01
4.88,-3.76,-88.64
5.89,1.91,66.78
5.06,4.21,91.91
5.19,-7.31,-170.27
4.87,10.63,246.19
5.03,-1.74,-59.81
3.45,-6.45,-112.07
5.57,-9.79,-249.94
4.69,-4.57,-99.7
4.4,-0.79,-40.92
6.2,1.98,72.95
4.8,-2.36,-65.3
6.56,-6.12,-174.67
4.35,4.4,82.62
3.57,-3.03,-57.57
5.0,-15.88,-450.03
5.0,-3.57,-87.53
4.89,-1.01,-48.87
5.14,10.91,263.76
5.34,4.51,102.99
5.24,-7.55,-177.67
6.88,-7.84,-230.61
5.91,-0.15,-50.63
4.62,-6.57,-139.23
5.44,1.05,48.08
3.85,5.64,96.09
3.9,-6.6,-124.1
3.11,-4.92,-78.58
5.37,0.14,36.35
6.31,-3.33,-106.79
3.17,-8.64,-153.35
5.03,-4.25,-100.14
4.51,0.21,28.28
4.82,0.39,33.14
5.49,-0.38,-48.48
4.14,0.79,30.28
5.86,9.24,233.92
4.49,4.89,93.93
5.33,-10.0,-248.9
4.39,-1.44,-48.0
4.61,-3.62,-81.68
4.96,-8.67,-199.91
4.6,1.67,45.38
2.54,3.93,47.88
4.09,-0.78,-37.67
6.9,3.36,111.24
4.77,5.83,118.27
4.18,-7.64,-153.58
3.57,-5.36,-93.79
3.46,2.73,44.3
4.81,-6.15,-134.11
4.74,-9.77,-224.69
5.14,3.4,78.88
4.9,4.11,87.26
5.92,-6.64,-171.75
4.33,-0.14,-33.99
5.68,-3.52,-98.54
4.13,-1.2,-42.45
5.52,-0.9,-55.24
5.7,1.07,51.84
4.11,0.22,24.76
5.01,1.06,42.82
5.67,11.48,300.26
4.73,7.56,157.09
4.94,1.46,46.88
4.25,4.85,88.69
3.35,3.81,57.19
1.91,0.92,14.04
5.72,-4.3,-114.35
5.85,3.63,95.88
4.79,-4.48,-99.93
4.56,3.47,70.56
4.21,-1.26,-43.9
4.13,5.94,107.38
5.26,-5.48,-129.34
4.09,13.02,298.63
6.15,3.6,100.97
5.24,-5.5,-129.35
6.52,7.12,192.04
4.03,4.29,75.07
3.62,-1.19,-37.11
4.64,4.43,88.25
4.99,-10.35,-249.43
6.43,-4.2,-127.01
4.58,-4.06,-88.66
3.95,1.19,32.38
4.83,9.54,212.7
5.4,2.04,61.24
5.14,-1.48,-57.79
4.7,4.64,93.17
4.77,3.52,74.61
5.13,3.27,76.57
7.09,3.97,128.22
5.22,0.98,44.35
4.58,4.05,80.43
5.14,-0.54,-46.24
4.64,-0.22,-37.56
4.42,-1.57,-49.82
3.94,-0.48,-33.55
5.33,3.7,87.55
4.42,5.06,95.78
4.14,-0.13,-32.26
5.54,-3.15,-89.6
4.17,5.08,91.4
6.26,3.38,98.84
4.13,7.89,150.41
5.8,9.25,232.7
5.86,-5.43,-141.61
2.74,-0.71,-25.93
5.58,4.29,103.48
6.55,2.79,93.23
6.37,-0.21,-57.23
6.96,3.0,105.06
5.96,4.14,107.98
5.23,-6.95,-162.42
4.84,5.31,108.86
5.92,-1.71,-72.17
4.35,-0.2,-34.76
2.49,2.41,30.07
5.38,2.51,68.28
4.57,-3.23,-74.93
4.59,-0.2,-36.89
5.21,6.84,151.13
6.53,-0.66,-65.64
5.58,-5.72,-141.69
3.29,-5.9,-98.52
3.74,7.8,139.18
6.31,-0.89,-65.84
5.35,-3.18,-86.86
5.82,-0.38,-52.4
5.95,-6.12,-159.73
4.38,-0.23,-35.23
6.53,1.96,78.15
4.17,-4.31,-85.89
4.75,-3.07,-75.09
4.13,-5.97,-116.09
3.87,-1.9,-47.22
5.53,1.99,62.64
6.52,-1.51,-78.44
4.06,5.44,96.26
3.85,4.84,81.43
4.21,10.65,226.56
5.6,0.61,44.57
2.77,12.02,224.89
4.05,-6.34,-121.97
6.22,1.22,61.34
5.59,-6.63,-163.44
4.67,-8.44,-185.96
5.34,6.07,136.21
4.81,-0.99,-47.64
5.19,0.43,37.6
4.12,1.36,36.03
3.57,4.04,63.87
4.56,4.34,85.19
3.99,6.11,107.98
4.09,4.53,80.25
6.91,-5.0,-155.67
3.23,7.78,127.18
4.9,2.85,66.04
5.78,-0.28,-50.72
6.47,-5.0,-145.71
5.51,1.94,61.54
5.62,1.45,55.88
3.69,0.57,24.2
5.0,4.72,100.6
5.87,7.8,192.79
4.59,-5.03,-106.53
3.59,2.91,48.21
5.28,-1.88,-65.23
5.14,1.03,44.04
4.28,-5.84,-116.44
5.91,3.62,96.8
4.54,-2.54,-64.19
3.8,7.97,144.5
3.86,-3.25,-64.64
3.45,3.4,52.84
5.36,-2.11,-69.87
5.61,-1.53,-64.97
4.14,4.98,89.15
3.66,-0.46,-30.94
3.6,-7.95,-147.45
4.36,-2.59,-62.33
5.94,4.76,120.54
5.73,-5.09,-131.09
4.69,2.65,59.9
4.35,-0.01,-32.98
4.12,6.76,124.39
5.52,4.15,99.56
4.46,-6.28,-129.36
5.68,3.88,97.44
5.15,-5.16,-120.23
6.32,-5.01,-142.39
5.85,4.16,106.2
5.85,11.44,304.95
5.34,0.01,34.66
4.16,0.49,27.63
3.9,-1.56,-43.85
4.07,-2.46,-56.67
5.58,-3.94,-104.69
4.66,8.71,184.77
4.05,-8.09,-161.57
6.48,-5.45,-156.21
5.4,4.96,113.34
3.84,-1.47,-42.26
5.73,-7.1,-178.51
4.65,5.33,105.63
4.28,-4.69,-94.55
5.2,-5.91,-137.21
5.23,5.79,127.31
5.04,6.5,139.15
4.42,1.47,40.7
4.68,2.12,52.27
6.43,8.77,237.0
4.95,-10.69,-258.61
4.16,2.75,53.75
5.7,-2.01,-73.53
4.75,-0.05,-37.01
5.19,3.66,84.28
3.07,-6.72,-109.76
5.39,-5.29,-127.99
4.02,-2.42,-55.55
5.16,1.47,49.93
4.74,-4.76,-104.17
3.71,2.89,49.54
4.67,1.84,48.39
6.48,7.11,190.76
5.62,1.86,61.95
6.45,6.65,177.57
3.49,6.62,108.18
4.38,3.22,63.69
5.22,3.96,90.2
5.8,-1.4,-65.83
5.04,-9.82,-234.82
6.49,-1.7,-81.09
4.54,5.61,108.94
3.43,6.15,97.88
4.99,-1.42,-55.1
4.77,-1.38,-51.91
5.33,-11.4,-294.07
4.03,-4.5,-86.74
7.37,7.62,230.59
5.03,3.01,70.75
5.63,3.93,97.34
4.38,2.11,48.08
3.0,-0.35,-25.24
5.75,-7.7,-194.97
6.53,0.22,51.59
5.12,-7.25,-167.06
5.68,-1.48,-65.22
6.43,-2.19,-88.13
6.58,3.21,101.75
2.86,2.32,32.83
5.15,4.49,98.93
1.36,0.87,10.97
5.08,0.71,39.52
5.56,0.83,46.87
5.23,-6.27,-146.3
6.69,3.68,113.67
2.78,3.3,42.92
4.05,3.46,62.4
4.67,4.68,93.47
4.57,-5.82,-121.95
6.89,-1.89,-91.09
4.67,0.06,28.36
4.49,1.64,43.48
5.04,9.67,222.54
4.13,-5.59,-108.3
2.9,-1.05,-29.6
6.15,1.09,58.39
4.86,-4.9,-109.32
2.68,-4.75,-69.27
4.14,-0.02,-31.31
3.29,6.23,96.62
4.75,0.05,29.04
3.41,3.87,59.03
5.87,-3.67,-104.91
4.82,-6.22,-135.94
5.99,0.91,53.63
6.28,-1.38,-72.78
4.73,-1.14,-48.43
4.81,-3.44,-82.14
5.56,-8.96,-224.7
5.5,-0.23,-46.84
3.71,0.88,27.11
5.07,3.58,80.88
5.55,2.84,76.51
5.32,10.61,259.78
5.5,-0.68,-52.12
4.14,5.24,93.94
6.37,-5.04,-144.12
6.51,-4.25,-129.64
3.7,1.01,28.21
4.18,4.16,75.61
5.95,-4.92,-132.02
4.38,-0.39,-36.67
5.96,-3.97,-112.69
5.6,-3.11,-89.98
7.79,-1.06,-92.17
4.14,5.48,98.37
5.22,3.71,85.67
4.66,-0.72,-42.94
4.25,-2.91,-65.27
6.15,-1.4,-71.06
6.89,1.52,76.74
5.08,1.15,44.84
6.33,-1.67,-77.95
5.32,-6.82,-161.36
4.63,5.58,110.2
3.61,-4.31,-76.69
6.34,3.62,105.3
5.14,-6.32,-145.32
5.1,0.87,41.65
3.32,4.23,63.12
6.34,2.69,87.5
5.12,-5.85,-134.38
4.75,6.52,133.0
5.19,3.99,90.28
5.64,4.52,109.11
4.62,1.73,46.27
5.08,-1.86,-62.13
5.28,7.97,181.55
4.03,3.66,65.1
4.39,2.82,58.04
5.04,2.04,56.18
7.17,-2.3,-103.77
4.28,0.91,32.89
5.49,2.83,75.32
4.56,3.02,63.42
4.74,-7.63,-166.99
4.64,5.69,112.87
4.31,2.49,52.2
5.09,-0.04,-40.26
6.24,-1.4,-72.3
5.13,-4.59,-108.5
4.49,-6.22,-128.62
7.08,6.18,181.91
5.17,-0.02,-40.91
6.84,5.11,148.81
4.49,-3.18,-72.71
5.13,-5.63,-129.77
4.7,-1.73,-55.38
5.41,-3.74,-97.56
6.23,1.97,73.23
4.29,7.08,135.13
5.85,-4.34,-117.86
2.92,-2.96,-48.56
4.18,3.62,66.96
4.24,3.81,70.7
4.91,0.6,36.37
4.24,-3.6,-75.49
5.79,-4.86,-127.52
5.18,-0.26,-43.55
6.22,4.51,120.93
4.98,-7.7,-174.8
5.4,2.86,74.33
5.33,-2.9,-81.71
5.36,-2.41,-74.38
5.08,3.12,73.26
3.75,6.85,118.27
3.42,-8.82,-163.88
3.61,5.11,82.15
5.16,5.9,128.37
2.62,-5.4,-78.27
5.71,1.96,64.84
4.35,6.02,113.69
4.81,-4.84,-107.18
4.21,-3.66,-75.94
6.77,-6.38,-186.73
6.11,2.05,72.48
4.91,-0.84,-47.1
5.76,-3.15,-93.38
6.16,-9.21,-250.4
4.01,-9.94,-208.71
3.16,0.05,16.28
4.59,-1.65,-52.84
5.45,-8.02,-195.35
4.87,1.89,51.76
4.04,2.9,54.19
3.8,3.29,56.35
5.46,-5.98,-144.77
6.63,-0.28,-61.78
4.86,1.77,50.03
6.44,-1.27,-73.37
5.57,2.77,75.56
3.63,5.87,96.22
4.8,-6.36,-138.5
5.58,-1.45,-63.45
4.13,4.08,73.42
6.57,4.59,130.38
4.52,11.37,258.49
4.54,9.0,189.4
3.27,0.86,23.07
3.58,-2.47,-50.59
6.62,0.22,52.82
5.29,7.47,168.83
5.4,-3.23,-88.41
6.3,0.71,55.16
5.5,-4.0,-104.16
5.67,3.87,97.06
5.11,10.9,262.4
4.32,-0.38,-36.09
5.53,-2.98,-86.5
5.46,1.03,48.11
4.4,1.6,42.07
5.72,2.69,76.75
4.33,-5.29,-106.48
5.65,-3.65,-100.39
4.81,-15.07,-409.03
4.56,3.4,69.42
5.03,0.24,33.75
5.14,-3.96,-96.75
4.8,-7.47,-164.39
4.67,9.78,214.76
3.56,2.37,41.18
4.95,2.87,67.09
6.49,3.89,113.71
4.55,7.43,149.42
5.81,-2.04,-75.53
3.22,0.52,19.94
5.12,-4.26,-102.07
5.1,8.82,199.61
5.07,-1.47,-56.72
5.79,10.75,279.77
5.21,-2.04,-66.58
7.46,-3.2,-127.61
5.12,4.91,106.65
4.5,-3.64,-80.35
4.7,-3.39,-79.32
3.86,5.99,102.97
6.19,-0.78,-62.61
6.74,-13.28,-414.59
4.81,-0.58,-43.01
4.17,-2.36,-56.64
8.02,-1.74,-109.25
5.11,-9.21,-218.91
5.69,-5.0,-128.27
5.68,-13.85,-395.74
5.07,-5.99,-136.22
6.0,0.99,54.85
6.52,-2.92,-103.23
3.6,-2.01,-45.57
6.35,4.26,118.62
6.14,7.49,191.67
3.54,-13.98,-320.89
6.43,-6.75,-187.94
4.6,-8.64,-189.08
6.46,-5.3,-152.27
3.46,-4.44,-76.4
4.4,-2.08,-55.95
6.64,8.03,221.28
4.73,-4.38,-96.88
4.61,-3.01,-72.12
5.8,-1.26,-63.87
4.65,-3.18,-75.26
2.24,1.54,20.28
5.49,-3.94,-103.04
4.91,2.87,66.44
5.68,-1.12,-60.28
4.99,-0.19,-40.86
5.98,4.59,117.64
5.89,5.06,125.84
4.53,-5.37,-111.94
5.33,-13.03,-351.04
5.0,2.78,66.53
5.33,-11.25,-288.8
4.84,2.63,61.81
5.89,2.41,74.9
4.37,-1.03,-43.13
5.16,-1.98,-64.91
6.56,5.09,141.59
3.41,5.17,79.63
5.05,1.75,52.18
4.77,4.16,85.86
5.78,-0.61,-54.83
4.61,-5.32,-112.54
4.8,-3.6,-84.46
6.34,-2.59,-93.64
4.62,1.29,40.95
2.86,-1.03,-29.14
3.5,4.81,75.13
6.83,0.82,64.53
6.32,-5.92,-163.78
3.86,0.4,24.14
5.42,-5.27,-128.31
5.75,-8.62,-220.3
3.17,2.92,43.08
3.93,-2.5,-55.37
5.8,0.52,45.91
5.71,8.72,214.32
4.38,-5.41,-109.94
3.57,2.49,42.69
5.0,0.45,35.72
6.08,4.19,111.41
3.36,-0.55,-29.31
4.93,4.04,86.34
3.92,0.2,22.91
4.26,2.34,49.49
4.79,-1.51,-53.67
6.13,9.21,241.36
4.06,-0.87,-38.35
6.52,11.54,332.08
5.68,-8.21,-206.83
3.96,3.42,60.53
5.54,-1.71,-66.55
4.37,2.58,54.32
4.37,-1.33,-46.44
4.96,-2.73,-73.13
5.34,1.84,57.54
6.1,0.68,51.91
6.35,1.19,62.86
6.13,-5.95,-159.84
5.45,1.61,55.79
5.75,5.0,121.66
5.95,1.97,68.65
4.27,-0.36,-35.48
3.97,4.09,70.98
3.6,-0.4,-30.0
5.48,-8.81,-218.32
3.84,3.6,61.41
3.48,5.49,86.46
5.52,1.27,52.09
3.83,0.34,23.33
3.9,3.25,57.19
4.41,0.79,33.11
3.76,2.46,44.72
6.32,6.63,173.73
5.14,-3.21,-83.73
2.37,8.36,121.1
6.79,-0.67,-69.71
5.15,5.64,122.41
3.1,3.41,48.44
3.78,-6.23,-114.23
3.85,5.09,85.94
3.98,0.27,24.03
6.81,-2.99,-109.92
4.05,-4.12,-80.61
5.48,-1.69,-65.48
5.66,-9.43,-241.67
4.68,-4.39,-96.16
5.48,5.06,117.11
5.51,12.83,342.33
4.62,3.39,70.04
3.35,5.34,81.48
6.46,-6.23,-175.27
4.74,5.31,107.07
4.57,-0.47,-39.35
5.18,0.36,36.67
5.54,9.35,227.76
6.18,0.34,48.42
4.86,4.92,101.63
5.87,6.57,160.71
3.67,-4.54,-81.53
3.81,3.47,59.1
3.26,-0.16,-25.7
6.06,-3.49,-105.24
7.59,-2.32,-112.33
4.21,3.9,71.86
5.22,-6.78,-157.9
4.44,-4.98,-102.7
3.96,-2.65,-57.73
5.03,2.18,58.05
3.83,5.34,90.12
4.08,-0.69,-36.7
4.74,-6.97,-151.16
6.4,-3.53,-112.6
5.72,6.86,164.29
3.47,-6.59,-115.26
4.76,2.58,59.88
5.23,-1.93,-65.18
5.64,5.05,120.25
4.46,1.97,47.3
6.42,-1.35,-74.34
4.01,-5.87,-111.64
5.15,-4.92,-115.43
6.36,-3.17,-104.81
5.27,6.9,153.98
5.3,3.79,88.7
6.4,0.96,60.21
3.36,2.64,42.1
5.39,-5.63,-135.42
5.28,0.66,41.25
4.36,4.47,83.95
4.4,2.0,46.94
4.46,2.28,51.35
6.28,-9.68,-268.91
7.11,-1.71,-91.73
6.29,-2.19,-85.78
4.9,11.11,262.2
4.97,-5.6,-125.6
4.06,1.91,41.57
4.21,1.92,43.56
3.03,-6.9,-112.65
7.48,5.66,178.56
5.5,-1.47,-62.56
3.84,-2.43,-53.26
4.92,-8.91,-205.23
4.33,1.74,42.86
5.27,3.86,89.53
3.75,-3.62,-68.2
4.1,-7.23,-142.38
4.16,-8.41,-172.17
5.76,4.67,114.68
4.69,4.75,95.08
5.48,-9.31,-232.76
5.99,-4.91,-132.7
5.43,-6.57,-158.0
5.12,4.06,90.23
3.92,2.67,49.43
4.72,1.83,48.9
4.8,7.08,147.22
3.91,-6.61,-124.57
5.1,4.13,91.23
4.74,2.63,60.23
5.84,2.09,68.82
4.04,4.09,72.07
3.79,6.23,106.48
6.1,0.54,50.02
4.06,-0.82,-37.86
4.81,-6.75,-147.6
7.09,3.59,119.91
3.49,-1.53,-39.28
5.15,-0.2,-42.62
2.68,0.75,17.78
5.44,-0.62,-50.76
5.47,0.76,44.85
6.16,0.24,46.98
4.99,-7.18,-161.92
6.16,0.36,48.49
5.26,5.44,120.58
5.21,-0.51,-46.83
5.91,-3.68,-106.03
4.53,-1.51,-50.53
4.91,-3.57,-85.83
4.72,-8.19,-180.69
7.3,-0.42,-73.52
6.13,-2.3,-85.02
4.19,-6.69,-132.31
4.59,-1.84,-55.3
4.41,-0.21,-35.34
4.41,6.44,123.66
3.96,-2.07,-50.4
3.74,6.78,116.61
4.88,-3.48,-84.01
7.26,6.96,208.23
4.79,-2.61,-68.68
5.13,4.27,94.29
6.54,-6.09,-173.66
5.11,3.13,73.89
5.32,-1.58,-61.6
5.48,-1.63,-64.64
7.91,6.71,219.71
5.08,5.42,116.22
5.01,5.78,122.38
5.35,-7.74,-185.41
3.47,-3.08,-56.89
5.62,10.5,265.71
6.38,0.89,58.89
5.64,-4.1,-108.82
5.63,0.81,47.51
5.31,-4.59,-111.96
5.83,2.43,74.15
3.3,-3.55,-60.85
5.33,0.26,37.23
5.86,0.59,47.51
6.13,-6.24,-166.94
5.58,-0.99,-57.23
4.3,-4.9,-98.67
4.35,-2.24,-57.39
4.07,-4.77,-92.14
6.55,-3.28,-110.6
4.33,9.17,188.24
4.78,-2.6,-68.44
4.4,-12.62,-303.8
3.82,6.11,104.61
3.91,-1.08,-38.9
6.18,10.1,271.14
6.95,-5.13,-159.93
5.72,-1.98,-73.19
4.96,-13.61,-358.98
3.97,-4.58,-87.18
3.98,-5.91,-111.8
3.04,4.18,58.13
4.9,0.59,36.17
5.03,-9.0,-210.91
5.42,6.37,144.95
5.71,7.12,170.79
3.95,-7.73,-150.41
6.85,3.02,103.31
4.78,-4.08,-92.33
4.49,-2.53,-63.27
2.75,-3.12,-48.43
5.02,4.46,95.97
5.9,6.73,165.66
6.33,3.73,107.21
5.95,3.83,101.58
5.92,3.72,98.94
5.7,3.59,92.4
5.25,0.97,44.63
4.94,5.28,110.52
5.07,7.9,174.24
4.31,-11.58,-266.4
3.41,2.07,36.03
5.75,2.79,78.82
6.19,2.69,84.83
4.21,1.61,39.92
4.26,-4.42,-89.25
4.38,-6.6,-134.53
2.94,6.6,97.06
3.13,-2.55,-46.24
4.25,10.82,233.13
5.68,1.01,50.84
6.94,4.84,144.9
4.13,-5.12,-99.62
4.71,-5.52,-118.5
5.87,3.24,89.01
5.58,-9.17,-231.64
3.69,1.33,31.24
4.43,-0.26,-36.01
5.14,-6.28,-144.28
4.65,3.7,75.77
4.1,-1.67,-47.24
4.75,-3.95,-89.7
4.83,-2.15,-62.74
4.67,0.24,30.14
5.54,-14.03,-396.8
4.08,2.62,50.94
6.13,0.17,45.72
4.59,-0.62,-41.13
3.89,3.45,59.77
5.28,3.81,88.57
3.75,-4.47,-81.6
4.99,3.17,72.51
4.82,-0.35,-40.78
2.36,5.64,69.97
4.52,-8.07,-172.49
6.22,-4.36,-126.06
5.0,-3.05,-78.84
5.64,6.78,160.19
7.09,8.41,246.31
3.92,6.74,119.72
4.87,3.95,83.79
5.23,4.9,108.62
5.94,5.88,145.68
5.14,-5.67,-130.97
2.94,2.02,30.59
6.42,-0.99,-68.86
5.19,-0.24,-43.44
3.71,0.09,20.46
4.55,-6.42,-134.31
3.64,1.07,28.19
4.72,2.38,56.42
4.46,9.47,200.17
6.23,-5.13,-143.2
4.79,-5.99,-130.22
4.66,5.04,100.07
5.51,2.09,63.85
4.6,1.26,40.41
4.68,9.93,219.49
7.51,-6.39,-207.2
5.28,-2.4,-72.99
4.75,2.68,61.2
5.79,10.71,278.31
5.38,10.11,245.77
6.41,4.23,119.09
3.19,-3.0,-52.26
5.58,2.54,71.94
3.86,1.2,31.52
5.18,-6.29,-145.48
6.34,1.32,64.61
4.59,3.22,67.09
5.07,0.42,36.09
4.74,9.89,219.99
5.53,5.47,127.1
4.31,-5.17,-103.82
5.94,-0.5,-55.51
5.05,5.13,109.65
3.99,6.67,119.74
6.33,-4.57,-132.78
4.43,-4.45,-92.83
4.12,0.17,24.33
5.69,7.43,178.14
5.11,-0.56,-46.24
5.1,-4.59,-107.96
4.19,-0.15,-32.78
5.35,8.59,200.43
3.16,9.97,178.54
6.65,-2.67,-100.82
4.21,0.03,24.05
4.18,5.13,92.66
6.65,3.38,106.69
4.18,-5.71,-111.83
3.01,-7.76,-130.19
7.38,2.38,101.4
5.54,-3.98,-104.66
5.92,5.12,127.92
5.06,5.6,119.69
4.82,-5.42,-119.05
5.4,9.22,219.91
3.32,0.06,17.45
5.44,10.88,272.56
6.62,-8.0,-227.66
4.44,0.85,34.0
6.66,-1.33,-77.86
5.16,-2.26,-69.02
4.93,0.8,38.84
5.73,-8.38,-213.01
5.92,0.59,48.36
4.83,2.46,59.24
3.86,-3.59,-69.47
3.84,-1.87,-46.6
5.25,1.57,52.43
4.81,-0.93,-46.88
5.54,-6.04,-148.23
5.22,1.54,51.69
5.89,-3.04,-93.8
5.83,9.48,240.44
3.49,2.42,40.99
5.57,0.51,42.89
5.4,5.9,133.73
5.72,-9.58,-248.1
4.46,0.19,27.7
5.61,-2.08,-73.17
5.05,7.27,157.92
4.97,5.3,111.48
6.77,-0.56,-67.7
4.79,-1.81,-57.61
3.96,1.74,38.47
4.59,-7.39,-157.57
5.36,-4.51,-111.51
5.86,-2.45,-82.94
3.89,-0.53,-33.54
4.87,-2.82,-73.19
5.59,0.5,43.01
4.69,8.14,170.54
2.95,-4.22,-65.41
5.97,0.83,52.18
5.76,-8.91,-229.39
4.78,-2.82,-71.8
3.01,7.06,107.38
5.77,-3.13,-93.2
4.86,1.37,44.79
4.51,-7.81,-165.74
3.78,1.05,29.28
5.34,-2.3,-72.37
4.79,1.07,40.35
5.04,2.98,70.32
3.73,-0.07,-28.42
5.99,2.29,74.5
3.53,3.69,58.19
2.83,3.12,41.32
3.86,1.51,34.85
5.8,11.48,304.58
4.89,-0.38,-41.79
4.83,1.43,45.21
5.74,-0.31,-50.6
5.26,6.85,152.79
4.43,-8.31,-176.35
4.31,6.22,116.77
6.1,2.02,71.93
5.39,2.68,71.21
4.98,-2.72,-73.38
4.33,-7.49,-153.72
6.39,4.65,128.04
6.65,-0.54,-65.76
4.51,7.35,146.77
2.77,5.18,69.3
4.54,3.12,64.71
5.82,10.82,282.86
6.75,-4.63,-143.46
5.56,4.32,103.62
5.52,-0.96,-56.07
6.93,-0.03,-62.54
4.07,8.16,155.67
3.99,-2.6,-57.42
4.67,4.59,91.86
5.15,4.7,103.02
4.8,-7.93,-176.11
4.18,-4.87,-95.74
5.02,5.36,113.85
6.8,-4.15,-133.83
5.74,4.06,101.99
6.46,2.43,84.98
6.84,-1.98,-91.65
6.42,-2.54,-94.3
4.13,2.23,46.33
5.11,2.23,59.78
5.12,0.98,43.31
5.35,-1.77,-64.67
5.41,-0.07,-43.94
3.87,0.27,23.16
4.35,3.08,61.23
5.11,2.58,65.08
5.76,0.73,48.12
5.04,-0.16,-41.03
4.14,-8.18,-165.77
4.82,4.46,91.96
4.79,-0.9,-46.41
5.63,6.26,147.36
4.06,6.57,119.03
4.71,2.12,52.57
6.4,-8.24,-228.53
6.19,5.44,141.33
5.98,-0.12,-51.28
5.33,1.43,51.63
4.68,-1.74,-55.25
5.8,1.93,65.71
5.25,-1.63,-61.33
4.71,-3.87,-87.54
6.38,-0.86,-66.36
4.91,-0.69,-45.43
3.7,1.21,30.09
4.2,-1.6,-47.67
5.88,2.84,82.02
5.25,-0.62,-48.47
4.16,-1.99,-51.9
4.57,3.78,75.66
5.34,1.08,47.25
4.06,-2.75,-60.44
6.05,5.57,141.12
5.24,-7.61,-179.3
4.32,-4.48,-91.52
6.16,4.7,123.97
3.52,-3.47,-62.86
5.71,6.59,157.24
6.4,-4.3,-128.59
5.59,0.72,45.8
4.59,1.21,39.67
4.57,4.28,84.45
4.77,-5.55,-120.51
3.93,-4.47,-84.52
5.54,-2.41,-77.22
4.82,-6.66,-145.89
3.99,8.87,171.3
3.65,1.79,35.52
5.84,0.38,44.75
4.75,0.19,30.34
5.99,-6.56,-171.62
4.15,-1.94,-51.07
4.43,3.3,65.76
5.91,11.39,305.29
5.06,4.23,92.4
5.08,-2.84,-76.69
5.65,2.16,67.02
5.84,-0.56,-54.93
5.83,6.05,147.06
3.07,-2.42,-44.13
3.56,-3.91,-69.8
4.53,2.8,59.78
4.59,-0.47,-39.63
3.31,-3.61,-61.86
5.4,-2.97,-84.02
5.05,-6.09,-138.05
5.15,6.36,138.54
4.18,-4.46,-88.77
4.19,-7.05,-140.48
